UTC Datetime,Local Datetime,countlineName,direction,Pedestrian
2023-10-01 13:15:00,2023-10-01 14:15:00,S1_ParkRow_path_RHS_uob001,in,41
2023-10-01 13:15:00,2023-10-01 14:15:00,S1_ParkRow_path_RHS_uob001,out,36
2023-10-01 13:30:00,2023-10-01 14:30:00,S1_ParkRow_path_RHS_uob001,in,42
2023-10-01 13:30:00,2023-10-01 14:30:00,S1_ParkRow_path_RHS_uob001,out,27
2023-10-01 13:45:00,2023-10-01 14:45:00,S1_ParkRow_path_RHS_uob001,in,49
2023-10-01 13:45:00,2023-10-01 14:45:00,S1_ParkRow_path_RHS_uob001,out,28
2023-10-01 14:00:00,2023-10-01 15:00:00,S1_ParkRow_path_RHS_uob001,in,49
2023-10-01 14:00:00,2023-10-01 15:00:00,S1_ParkRow_path_RHS_uob001,out,25
2023-10-01 14:15:00,2023-10-01 15:15:00,S1_ParkRow_path_RHS_uob001,in,50
2023-10-01 14:15:00,2023-10-01 15:15:00,S1_ParkRow_path_RHS_uob001,out,31
2023-10-01 14:30:00,2023-10-01 15:30:00,S1_ParkRow_path_RHS_uob001,in,68
2023-10-01 14:30:00,2023-10-01 15:30:00,S1_ParkRow_path_RHS_uob001,out,36
2023-10-01 14:45:00,2023-10-01 15:45:00,S1_ParkRow_path_RHS_uob001,in,53
2023-10-01 14:45:00,2023-10-01 15:45:00,S1_ParkRow_path_RHS_uob001,out,30
2023-10-01 15:00:00,2023-10-01 16:00:00,S1_ParkRow_path_RHS_uob001,in,59
2023-10-01 15:00:00,2023-10-01 16:00:00,S1_ParkRow_path_RHS_uob001,out,19
2023-10-01 15:15:00,2023-10-01 16:15:00,S1_ParkRow_path_RHS_uob001,in,51
2023-10-01 15:15:00,2023-10-01 16:15:00,S1_ParkRow_path_RHS_uob001,out,29
2023-10-01 15:30:00,2023-10-01 16:30:00,S1_ParkRow_path_RHS_uob001,in,44
2023-10-01 15:30:00,2023-10-01 16:30:00,S1_ParkRow_path_RHS_uob001,out,22
2023-10-01 15:45:00,2023-10-01 16:45:00,S1_ParkRow_path_RHS_uob001,in,68
2023-10-01 15:45:00,2023-10-01 16:45:00,S1_ParkRow_path_RHS_uob001,out,13
2023-10-01 16:00:00,2023-10-01 17:00:00,S1_ParkRow_path_RHS_uob001,in,50
2023-10-01 16:00:00,2023-10-01 17:00:00,S1_ParkRow_path_RHS_uob001,out,30
2023-10-01 16:15:00,2023-10-01 17:15:00,S1_ParkRow_path_RHS_uob001,in,33
2023-10-01 16:15:00,2023-10-01 17:15:00,S1_ParkRow_path_RHS_uob001,out,25
2023-10-01 16:30:00,2023-10-01 17:30:00,S1_ParkRow_path_RHS_uob001,in,39
2023-10-01 16:30:00,2023-10-01 17:30:00,S1_ParkRow_path_RHS_uob001,out,31
2023-10-01 16:45:00,2023-10-01 17:45:00,S1_ParkRow_path_RHS_uob001,in,22
2023-10-01 16:45:00,2023-10-01 17:45:00,S1_ParkRow_path_RHS_uob001,out,21
2023-10-01 17:00:00,2023-10-01 18:00:00,S1_ParkRow_path_RHS_uob001,in,20
2023-10-01 17:00:00,2023-10-01 18:00:00,S1_ParkRow_path_RHS_uob001,out,18
2023-10-01 17:15:00,2023-10-01 18:15:00,S1_ParkRow_path_RHS_uob001,in,24
2023-10-01 17:15:00,2023-10-01 18:15:00,S1_ParkRow_path_RHS_uob001,out,14
2023-10-01 17:30:00,2023-10-01 18:30:00,S1_ParkRow_path_RHS_uob001,in,14
2023-10-01 17:30:00,2023-10-01 18:30:00,S1_ParkRow_path_RHS_uob001,out,23
2023-10-01 17:45:00,2023-10-01 18:45:00,S1_ParkRow_path_RHS_uob001,in,45
2023-10-01 17:45:00,2023-10-01 18:45:00,S1_ParkRow_path_RHS_uob001,out,23
2023-10-01 18:00:00,2023-10-01 19:00:00,S1_ParkRow_path_RHS_uob001,in,17
2023-10-01 18:00:00,2023-10-01 19:00:00,S1_ParkRow_path_RHS_uob001,out,13
2023-10-01 18:15:00,2023-10-01 19:15:00,S1_ParkRow_path_RHS_uob001,in,13
2023-10-01 18:15:00,2023-10-01 19:15:00,S1_ParkRow_path_RHS_uob001,out,7
2023-10-01 18:30:00,2023-10-01 19:30:00,S1_ParkRow_path_RHS_uob001,in,19
2023-10-01 18:30:00,2023-10-01 19:30:00,S1_ParkRow_path_RHS_uob001,out,8
2023-10-01 18:45:00,2023-10-01 19:45:00,S1_ParkRow_path_RHS_uob001,in,15
2023-10-01 18:45:00,2023-10-01 19:45:00,S1_ParkRow_path_RHS_uob001,out,7
2023-10-01 19:00:00,2023-10-01 20:00:00,S1_ParkRow_path_RHS_uob001,in,15
2023-10-01 19:00:00,2023-10-01 20:00:00,S1_ParkRow_path_RHS_uob001,out,16
2023-10-01 19:15:00,2023-10-01 20:15:00,S1_ParkRow_path_RHS_uob001,in,15
2023-10-01 19:15:00,2023-10-01 20:15:00,S1_ParkRow_path_RHS_uob001,out,7
2023-10-01 19:30:00,2023-10-01 20:30:00,S1_ParkRow_path_RHS_uob001,in,10
2023-10-01 19:30:00,2023-10-01 20:30:00,S1_ParkRow_path_RHS_uob001,out,7
2023-10-01 19:45:00,2023-10-01 20:45:00,S1_ParkRow_path_RHS_uob001,in,13
2023-10-01 19:45:00,2023-10-01 20:45:00,S1_ParkRow_path_RHS_uob001,out,6
2023-10-01 20:00:00,2023-10-01 21:00:00,S1_ParkRow_path_RHS_uob001,in,12
2023-10-01 20:00:00,2023-10-01 21:00:00,S1_ParkRow_path_RHS_uob001,out,7
2023-10-01 20:15:00,2023-10-01 21:15:00,S1_ParkRow_path_RHS_uob001,in,8
2023-10-01 20:15:00,2023-10-01 21:15:00,S1_ParkRow_path_RHS_uob001,out,1
2023-10-01 20:30:00,2023-10-01 21:30:00,S1_ParkRow_path_RHS_uob001,in,7
2023-10-01 20:30:00,2023-10-01 21:30:00,S1_ParkRow_path_RHS_uob001,out,1
2023-10-01 20:45:00,2023-10-01 21:45:00,S1_ParkRow_path_RHS_uob001,in,9
2023-10-01 20:45:00,2023-10-01 21:45:00,S1_ParkRow_path_RHS_uob001,out,5
2023-10-01 21:00:00,2023-10-01 22:00:00,S1_ParkRow_path_RHS_uob001,in,10
2023-10-01 21:00:00,2023-10-01 22:00:00,S1_ParkRow_path_RHS_uob001,out,6
2023-10-01 21:15:00,2023-10-01 22:15:00,S1_ParkRow_path_RHS_uob001,in,4
2023-10-01 21:15:00,2023-10-01 22:15:00,S1_ParkRow_path_RHS_uob001,out,2
2023-10-01 21:30:00,2023-10-01 22:30:00,S1_ParkRow_path_RHS_uob001,in,3
2023-10-01 21:30:00,2023-10-01 22:30:00,S1_ParkRow_path_RHS_uob001,out,4
2023-10-01 21:45:00,2023-10-01 22:45:00,S1_ParkRow_path_RHS_uob001,in,3
2023-10-01 21:45:00,2023-10-01 22:45:00,S1_ParkRow_path_RHS_uob001,out,3
2023-10-01 22:00:00,2023-10-01 23:00:00,S1_ParkRow_path_RHS_uob001,in,0
2023-10-01 22:00:00,2023-10-01 23:00:00,S1_ParkRow_path_RHS_uob001,out,3
2023-10-01 22:15:00,2023-10-01 23:15:00,S1_ParkRow_path_RHS_uob001,in,1
2023-10-01 22:15:00,2023-10-01 23:15:00,S1_ParkRow_path_RHS_uob001,out,1
2023-10-01 22:30:00,2023-10-01 23:30:00,S1_ParkRow_path_RHS_uob001,in,7
2023-10-01 22:30:00,2023-10-01 23:30:00,S1_ParkRow_path_RHS_uob001,out,0
2023-10-01 22:45:00,2023-10-01 23:45:00,S1_ParkRow_path_RHS_uob001,in,5
2023-10-01 22:45:00,2023-10-01 23:45:00,S1_ParkRow_path_RHS_uob001,out,3
2023-10-01 23:00:00,2023-10-02 00:00:00,S1_ParkRow_path_RHS_uob001,in,0
2023-10-01 23:00:00,2023-10-02 00:00:00,S1_ParkRow_path_RHS_uob001,out,0
2023-10-01 23:15:00,2023-10-02 00:15:00,S1_ParkRow_path_RHS_uob001,in,0
2023-10-01 23:15:00,2023-10-02 00:15:00,S1_ParkRow_path_RHS_uob001,out,0
2023-10-01 23:30:00,2023-10-02 00:30:00,S1_ParkRow_path_RHS_uob001,in,0
2023-10-01 23:30:00,2023-10-02 00:30:00,S1_ParkRow_path_RHS_uob001,out,1
2023-10-01 23:45:00,2023-10-02 00:45:00,S1_ParkRow_path_RHS_uob001,in,2
2023-10-01 23:45:00,2023-10-02 00:45:00,S1_ParkRow_path_RHS_uob001,out,1
2023-10-02 00:00:00,2023-10-02 01:00:00,S1_ParkRow_path_RHS_uob001,in,0
2023-10-02 00:00:00,2023-10-02 01:00:00,S1_ParkRow_path_RHS_uob001,out,1
2023-10-02 00:15:00,2023-10-02 01:15:00,S1_ParkRow_path_RHS_uob001,in,0
2023-10-02 00:15:00,2023-10-02 01:15:00,S1_ParkRow_path_RHS_uob001,out,0
2023-10-02 00:30:00,2023-10-02 01:30:00,S1_ParkRow_path_RHS_uob001,in,1
2023-10-02 00:30:00,2023-10-02 01:30:00,S1_ParkRow_path_RHS_uob001,out,1
2023-10-02 00:45:00,2023-10-02 01:45:00,S1_ParkRow_path_RHS_uob001,in,0
2023-10-02 00:45:00,2023-10-02 01:45:00,S1_ParkRow_path_RHS_uob001,out,0
2023-10-02 01:00:00,2023-10-02 02:00:00,S1_ParkRow_path_RHS_uob001,in,0
2023-10-02 01:00:00,2023-10-02 02:00:00,S1_ParkRow_path_RHS_uob001,out,0
2023-10-02 01:15:00,2023-10-02 02:15:00,S1_ParkRow_path_RHS_uob001,in,1
2023-10-02 01:15:00,2023-10-02 02:15:00,S1_ParkRow_path_RHS_uob001,out,0
2023-10-02 01:30:00,2023-10-02 02:30:00,S1_ParkRow_path_RHS_uob001,in,0
2023-10-02 01:30:00,2023-10-02 02:30:00,S1_ParkRow_path_RHS_uob001,out,0
2023-10-02 01:45:00,2023-10-02 02:45:00,S1_ParkRow_path_RHS_uob001,in,1
2023-10-02 01:45:00,2023-10-02 02:45:00,S1_ParkRow_path_RHS_uob001,out,0
2023-10-02 02:00:00,2023-10-02 03:00:00,S1_ParkRow_path_RHS_uob001,in,0
2023-10-02 02:00:00,2023-10-02 03:00:00,S1_ParkRow_path_RHS_uob001,out,0
2023-10-02 02:15:00,2023-10-02 03:15:00,S1_ParkRow_path_RHS_uob001,in,0
2023-10-02 02:15:00,2023-10-02 03:15:00,S1_ParkRow_path_RHS_uob001,out,0
2023-10-02 02:30:00,2023-10-02 03:30:00,S1_ParkRow_path_RHS_uob001,in,0
2023-10-02 02:30:00,2023-10-02 03:30:00,S1_ParkRow_path_RHS_uob001,out,0
2023-10-02 02:45:00,2023-10-02 03:45:00,S1_ParkRow_path_RHS_uob001,in,0
2023-10-02 02:45:00,2023-10-02 03:45:00,S1_ParkRow_path_RHS_uob001,out,1
2023-10-02 03:00:00,2023-10-02 04:00:00,S1_ParkRow_path_RHS_uob001,in,1
2023-10-02 03:00:00,2023-10-02 04:00:00,S1_ParkRow_path_RHS_uob001,out,0
2023-10-02 03:15:00,2023-10-02 04:15:00,S1_ParkRow_path_RHS_uob001,in,1
2023-10-02 03:15:00,2023-10-02 04:15:00,S1_ParkRow_path_RHS_uob001,out,0
2023-10-02 03:30:00,2023-10-02 04:30:00,S1_ParkRow_path_RHS_uob001,in,0
2023-10-02 03:30:00,2023-10-02 04:30:00,S1_ParkRow_path_RHS_uob001,out,0
2023-10-02 03:45:00,2023-10-02 04:45:00,S1_ParkRow_path_RHS_uob001,in,0
2023-10-02 03:45:00,2023-10-02 04:45:00,S1_ParkRow_path_RHS_uob001,out,0
2023-10-02 04:00:00,2023-10-02 05:00:00,S1_ParkRow_path_RHS_uob001,in,0
2023-10-02 04:00:00,2023-10-02 05:00:00,S1_ParkRow_path_RHS_uob001,out,0
2023-10-02 04:15:00,2023-10-02 05:15:00,S1_ParkRow_path_RHS_uob001,in,0
2023-10-02 04:15:00,2023-10-02 05:15:00,S1_ParkRow_path_RHS_uob001,out,1
2023-10-02 04:30:00,2023-10-02 05:30:00,S1_ParkRow_path_RHS_uob001,in,0
2023-10-02 04:30:00,2023-10-02 05:30:00,S1_ParkRow_path_RHS_uob001,out,0
2023-10-02 04:45:00,2023-10-02 05:45:00,S1_ParkRow_path_RHS_uob001,in,0
2023-10-02 04:45:00,2023-10-02 05:45:00,S1_ParkRow_path_RHS_uob001,out,0
2023-10-02 05:00:00,2023-10-02 06:00:00,S1_ParkRow_path_RHS_uob001,in,4
2023-10-02 05:00:00,2023-10-02 06:00:00,S1_ParkRow_path_RHS_uob001,out,4
2023-10-02 05:15:00,2023-10-02 06:15:00,S1_ParkRow_path_RHS_uob001,in,4
2023-10-02 05:15:00,2023-10-02 06:15:00,S1_ParkRow_path_RHS_uob001,out,0
2023-10-02 05:30:00,2023-10-02 06:30:00,S1_ParkRow_path_RHS_uob001,in,5
2023-10-02 05:30:00,2023-10-02 06:30:00,S1_ParkRow_path_RHS_uob001,out,3
2023-10-02 05:45:00,2023-10-02 06:45:00,S1_ParkRow_path_RHS_uob001,in,8
2023-10-02 05:45:00,2023-10-02 06:45:00,S1_ParkRow_path_RHS_uob001,out,6
2023-10-02 06:00:00,2023-10-02 07:00:00,S1_ParkRow_path_RHS_uob001,in,6
2023-10-02 06:00:00,2023-10-02 07:00:00,S1_ParkRow_path_RHS_uob001,out,5
2023-10-02 06:15:00,2023-10-02 07:15:00,S1_ParkRow_path_RHS_uob001,in,11
2023-10-02 06:15:00,2023-10-02 07:15:00,S1_ParkRow_path_RHS_uob001,out,10
2023-10-02 06:30:00,2023-10-02 07:30:00,S1_ParkRow_path_RHS_uob001,in,15
2023-10-02 06:30:00,2023-10-02 07:30:00,S1_ParkRow_path_RHS_uob001,out,9
2023-10-02 06:45:00,2023-10-02 07:45:00,S1_ParkRow_path_RHS_uob001,in,21
2023-10-02 06:45:00,2023-10-02 07:45:00,S1_ParkRow_path_RHS_uob001,out,18
2023-10-02 07:00:00,2023-10-02 08:00:00,S1_ParkRow_path_RHS_uob001,in,27
2023-10-02 07:00:00,2023-10-02 08:00:00,S1_ParkRow_path_RHS_uob001,out,19
2023-10-02 07:15:00,2023-10-02 08:15:00,S1_ParkRow_path_RHS_uob001,in,40
2023-10-02 07:15:00,2023-10-02 08:15:00,S1_ParkRow_path_RHS_uob001,out,40
2023-10-02 07:30:00,2023-10-02 08:30:00,S1_ParkRow_path_RHS_uob001,in,26
2023-10-02 07:30:00,2023-10-02 08:30:00,S1_ParkRow_path_RHS_uob001,out,244
2023-10-02 07:45:00,2023-10-02 08:45:00,S1_ParkRow_path_RHS_uob001,in,18
2023-10-02 07:45:00,2023-10-02 08:45:00,S1_ParkRow_path_RHS_uob001,out,350
2023-10-02 08:00:00,2023-10-02 09:00:00,S1_ParkRow_path_RHS_uob001,in,22
2023-10-02 08:00:00,2023-10-02 09:00:00,S1_ParkRow_path_RHS_uob001,out,68
2023-10-02 08:15:00,2023-10-02 09:15:00,S1_ParkRow_path_RHS_uob001,in,26
2023-10-02 08:15:00,2023-10-02 09:15:00,S1_ParkRow_path_RHS_uob001,out,73
2023-10-02 08:30:00,2023-10-02 09:30:00,S1_ParkRow_path_RHS_uob001,in,15
2023-10-02 08:30:00,2023-10-02 09:30:00,S1_ParkRow_path_RHS_uob001,out,260
2023-10-02 08:45:00,2023-10-02 09:45:00,S1_ParkRow_path_RHS_uob001,in,90
